Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
99,Husainiya Center of Tucson,639 N Swan Rd,Tucson,AZ,85712,,,,2019,,https://www.husainiyatucson.org/,,,,,727
100,ICS Tucson,5010 E Bellevue St,Tucson,AZ,85712,,,,1980,,https://www.zippia.com/interfaith-community-services-careers-673065/history/,,,,,2721
101,Islamic Center of Tucson,901 E 1 st,Tucson,AZ,85719,,,,1991,,https://en.wikipedia.org/wiki/Tucson_Mosque,,,,,80
102,Flagstaff Community Masjid,30-269 S Family Housing,Flagstaff,AZ,86001,,,,1990,,https://www.icflagstaff.org/about-us,,,,,1102
103,Islamic Center Of Flagstaff,1829 N East St,Flagstaff,AZ,86004,,,,1990,,https://www.icflagstaff.org/about-us,,,,,2273
104,Prescott Islamic Center,2200 E Hillsdale Rd,Prescott,AZ,86301,,,,-,No Basic Information,,,,,,2723
105,Masjid Ibrahim,2075 Airway Avenue,Kingman,AZ,86401,,,,1990,,https://www.archnet.org/sites/10393,,,,,172
106,Masjid Ismail,1715 Wolf Ct.,Bullhead City,AZ,86442,,,,1998,,https://projects.propublica.org/nonprofits/organizations/860853536,,,,,1897
107,Masjid At-Thohir,1200 South Kenmore Avenue,Los Angeles,CA,90006,,,,,,,,,,,4166
108,Masjid Umar Ibn Khattab,1025 Exposition Blvd,Los Angeles,CA,90007,,,,1994,,https://www.archnet.org/sites/10386,,,,,1989
109,Masjid Bilal,4016 S Central Ave,Los Angeles,CA,90011,,,,1999,,https://masjidbilalonline.com/about-masjid-bilal-islamic-center.html,,,,,401
110,Minaret,1109-1101 East Martin Luther King Junior Boulevard,Los Angeles,CA,90011,,,,,,,,,,,4167
111,Akber Masjid- Islamic Center Downtown Los Angeles,1013 San Julian St A,Los Angeles,CA,90015,,,,-,No Basic Information,https://prayersconnect.com/mosques/84082263-akber-mosque-los-angeles-california-united-states,,,,,2284
112,Masjid Abu Bakr Al-Siddiq,3611 Crenshaw Blvd,Los Angeles,CA,90016,,,,-,Information Without Year,https://www.muslimguide.com/show/Masjid_Abu_Bakr_As_Siddiq_178,,,,,131
