Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score,NND,NRI,Reference_ID,geocode_method,HH_Income,Poverty_Rate,HH_Size
25,Islamic Community of Tuskegee,1103 S Main st,Tuskegee,AL,36083,32.416080309801,-85.682326757142,,-,No Basic Information,,,15.0,,,1400.0,census_geocoder,46024,22.714059196617338,2.17
26,Masjid Ash-Shura,1902 Franklin rd,Tuskegee,AL,36088,32.432404754627,-85.718063999037,,1990,,https://tuskegeemasjid.wixsite.com/tuskegeemajid/about,,19.0,,,1820.0,census_geocoder,35125,34.81199831009717,1.97
27,Muslim Center of Montgomery,4340 S Court st,Montgomery,AL,36105,32.325787022864,-86.307894932667,,2026,,https://www.mcmontgomery.org/about,21.0,38.0,,,2082.0,census_geocoder,41486,28.81226887100283,2.26
28,Masjid Qasim B El-Amin,2425 Lark Dr,Montgomery,AL,36108,32.342576547429,-86.334100895095,,1984,,https://prayersconnect.com/mosques/84044618-masjid-qasim-bilal-el-amin-montgomery-alabama-united-states,25.0,19.0,,,2258.0,census_geocoder,33291,35.00068521310127,2.36
29,East Montgomery Islamic Center/Omar Bin Khattab Mosque,3430 Kessinger Dr.,Montgomery,AL,36116,32.335330609657,-86.18186760005,,,,https://emismosque.org/index.html,15.0,58.0,,,1087.0,census_geocoder,55160,25.633707865168535,2.49
30,East Montgomery Islamic Center - EMIC,8786 Vaughn Rd,Montgomery,AL,36117,32.339045248996,-86.140721245908,,2006,,https://thigmos.com/east-montgomery-islamic-center/about,0.0,9.0,,,2253.0,census_geocoder,74720,10.474956313443679,2.34
31,Anniston Islamic Center/Masjid An Noor,1821 Mc Call Dr,Anniston,AL,36207,33.668202956357,-85.814262103467,,1985,,https://www.guidestar.org/profile/63-0882703,,17.0,,,2256.0,census_geocoder,67969,10.120213949054707,2.39
32,MCW Masjid Al-Noor Dothan Mosque,"1603, Napier Field Rd",Dothan,AL,36303,31.2708665,-85.4472452,,-,Information Without Year,https://www.facebook.com/mcwmasjidalnoor.dothanalabama/,,1.0,,,2260.0,nominatim,54147,21.85475161987041,2.43
33,Muslim Community of the Wiregrass,4500 Napier Fields rd,Dothan,AL,36303,,,,2003,,"https://www.causeiq.com/organizations/islamic-center-of-dothan-incorporated,161645662/",,6.0,,,2096.0,,54147,21.85475161987041,2.43
34,Hartford Islamic Center,503 N 6th ave,Hartford,AL,36344,31.107321122741,-85.701197715053,,-,No Basic Information,,,54.0,,,1125.0,census_geocoder,60377,16.064030131826744,2.58
35,Masjid Baitul Haqq,509 Aurelie st,Mobile,AL,36604,30.677994661258,-88.060982657327,,1994,,https://prayersconnect.com/mosques/84063757-masjid-baitul-haqq-mobile-alabama-united-states,,62.0,,,1836.0,census_geocoder,66357,14.763869784502523,2.31
36,Mobile Masjid of Al Islam,1559 Duval St,Mobile,AL,36605,30.661650935183,-88.074285840688,,-,No Basic Information,,,43.0,,,2047.0,census_geocoder,43538,32.35047679846786,2.62
37,American Islamic Center of Mobile,6207 Old Shell rd,Mobile,AL,36608,30.689983007609,-88.185948292438,,1986,,https://www.mosquehq.com/mosques/9rzy1/ism-1,,42.0,,,215.0,census_geocoder,61146,16.624278069199384,2.36
38,Islamic Society of Mobile,63 East Dr.,Mobile,AL,36608,30.688461923307,-88.17998326751,,1986,,https://islamicsocietymobile.org/#about-us,,55.0,,,1475.0,census_geocoder,61146,16.624278069199384,2.36
39,Prichard Masjid of Al-Islam,637 S Wilson Ave,Prichard,AL,36610,30.727127793416,-88.083123701097,,1992,,https://prayersconnect.com/mosques/84079111-prichard-masjid-of-al-islam-prichard-alabama-united-states,,54.0,,,818.0,census_geocoder,30529,34.95234232407219,2.51
40,Selma Islamic Center,2820 Citizens Pkwy,Selma,AL,36703,32.439369974294,-87.021048383389,,2016,,"https://www.causeiq.com/organizations/selma-mosque,812794096/",,36.0,,,2161.0,census_geocoder,32227,26.649604984978303,1.98
41,Auburn Islamic Center,338 Armstrong st,Auburn,AL,36830,32.599749774141,-85.478770739427,,1990,,https://www.auburnmuslims.org/,,72.0,,,964.0,census_geocoder,70188,20.14204837879568,2.30
42,Islamic Center of Grand Rapids,1301 Burton Street,Grand Rapids,AL,49509,42.92812182181,-85.699395330575,,1986,,https://en.wikipedia.org/wiki/Islamic_Center_and_Mosque_of_Grand_Rapids,39.0,72.0,,,1247.0,census_geocoder,65132,9.154218084722524,2.63
43,Islamic Center of Pine Bluff,3707 E Hepburn st,Pine Bluff,AR,71603,34.218257007401,-92.041500435215,,1995,,https://www.facebook.com/pbmosque/,,38.0,,,1322.0,census_geocoder,53130,15.344243175274263,2.39
44,Muslim Center of Conway,1715 South Blvd,Conway,AR,72034,35.079056334741,-92.447227087812,,1997,,https://prayersconnect.com/mosques/84078825-muslim-center-of-conway-conway-arkansas-united-states,,38.0,,,2277.0,census_geocoder,65635,16.266541987681173,2.33
45,Islamic Center for Human Excellence,1717 Wright ave,Little Rock,AR,72202,34.732103255721,-92.292201210687,,1969,,https://encyclopediaofarkansas.net/entries/muslims-2557/,40.0,65.0,,,1785.0,census_geocoder,50899,14.71264367816092,1.54
46,Islamic Center of Little Rock,3224 Anna st,Little Rock,AR,72204,34.72240132065,-92.333255686638,,1994,,https://theiclr.org/iclr-history/,39.0,51.0,,,1278.0,census_geocoder,40882,27.434306823726214,2.34
47,Ismaili Jamatkhana,12500 Kanis Rd,Little Rock,AR,72211,34.743714885201,-92.410190116082,,-,Information Without Year,https://prayersconnect.com/mosques/84058248-ismaili-jamatkhana-little-rock-arkansas-united-states,19.0,31.0,,,2282.0,census_geocoder,83134,8.124745394468837,2.04
48,Madina Institute,12123 Kanis Rd,Little Rock,AR,72211,34.743529234015,-92.408004470133,,2016,,https://ualr.edu/lrcs/2019/08/23/ramadan-at-little-rocks-madina-institute/,26.0,45.0,,,2276.0,census_geocoder,83134,8.124745394468837,2.04
49,Islamic Center of Little Rock - West Campus,15110 Kanis Rd,Little Rock,AR,72223,34.751276201035,-92.43811757066,,1992,,https://islamicvalley.com/mosque/jVb/the-islamic-center-of-little-rock,0.0,19.0,,,2278.0,census_geocoder,101062,7.099816609903065,2.32
50,Masjid Alradwan,500-596 W Broadway St,Forrest City,AR,72335,35.008135167928,-90.795605707256,,-,No Basic Information,https://prayersconnect.com/mosques/84000320-masjid-alradwan-forrest-city-arkansas-united-states,,48.0,,,2283.0,census_geocoder,40400,31.732838589981448,2.47
51,Islamic Center of Jonesboro,118 Rogers st,Jonesboro,AR,72401,35.843373381092,-90.688640632336,,1983,,https://islamatastate.weebly.com/islamic-center-of-jonesboro.html,,44.0,,,1268.0,census_geocoder,45329,30.685849910690255,2.38
52,Masjid Hamza/Islamic Center Of Northwest Arkansas,1420 E Center st,Fayetteville,AR,72701,36.063240811097,-94.180495527011,,1994,,https://encyclopediaofarkansas.net/entries/muslims-2557/,,84.0,,,1875.0,census_geocoder,55506,27.23705979673836,2.36
53,Bentonville Islamic Center,1801 SW 2nd St,Bentonville,AR,72712,36.371907557975,-94.234138221922,,2005,,https://www.mapquest.com/us/arkansas/bentonville-islamic-center-378407053,,19.0,,,986.0,census_geocoder,110514,4.740215030983529,2.56
54,Muslim Students of Russellville,514 West K st,Russellville,AR,72801,35.288567179557,-93.137340906529,,2014,,https://www.facebook.com/MSAatATU/posts/press-releasewhat-islamic-center-of-russellville-icr-to-hold-community-open-hous/959876940705094/,,44.0,,,2107.0,census_geocoder,47830,21.29408157007053,2.49
55,Islamic Center of Russellville,2001 W Parkway Dr,Russellville,AR,72802,35.288128775533,-93.146970331263,,2014,,"https://www.causeiq.com/organizations/islamic-center-of-russellville,464986297/",,14.0,,,2280.0,census_geocoder,64110,16.05899756352245,2.55
56,Masjid Annoor,1800 S Albert Pike,Fort Smith,AR,72901,35.365446337702,-94.386191852161,,1993,,https://masjidannoorfs.com/about,,49.0,,,1797.0,census_geocoder,42851,26.10303559504854,2.22
57,Masjid AlSalam,8501 S 28th St,Fort Smith,AR,72908,35.303334648314,-94.405240414998,,2012,,https://masjidalsalamfsm.org/about,,58.0,,,2279.0,census_geocoder,72732,10.90355904620392,2.40
58,Masjid Touba,1219 W Buckeye Rd,Phoenix,AZ,85007,33.436692589573,-112.088186007743,,-,No Basic Information,,43.0,61.0,,,2717.0,census_geocoder,63616,21.611205810420216,2.53
59,Al Rahma Islamic Center of Phoenix,2916 E McDowell Rd unit 15,Phoenix,AZ,85008,33.465802546888,-112.0186407304,,2009,,"https://www.causeiq.com/organizations/masjid-al-rahma-of-phoenix,870813205/",43.0,69.0,,,2272.0,census_geocoder,66353,18.450889127580858,2.57
60,Ibadurahman Mosque,5064 E McDowell Rd SUITE B,Phoenix,AZ,85008,33.465638028552,-111.972761526797,,-,No Basic Information,(480) 648-4254,34.0,50.0,,,414.0,census_geocoder,66353,18.450889127580858,2.57
61,Muslim Community Mosque Phoenix,1818 N 32nd St,Phoenix,AZ,85008,33.468045702677,-112.012981593137,,1994,,https://mcmphoenix.com/,41.0,64.0,,,2265.0,census_geocoder,66353,18.450889127580858,2.57
62,Masjid Al-Bashir Mohammed/Albasheer Islamic Foundation,6523 N Black Canyon Freeway,Phoenix,AZ,85015,33.531754587524,-112.111997733525,,2014,,"https://www.causeiq.com/organizations/al-basheer-islamic-foundation,461248064/",38.0,33.0,,,1651.0,census_geocoder,54874,20.154566287971136,2.54
63,Al Kauthar,6221 W Glendale ave,Phoenix,AZ,85017,33.5385019,-112.1347279,,-,No Basic Information,,41.0,79.0,,,859.0,nominatim,58346,27.103616133518777,3.39
64,Alkawathar Educational Culture Center,6602 N Black Cyn Hwy,Phoenix,AZ,85017,33.533100577721,-112.112670702727,,-,Information Without Year,,45.0,55.0,,,2725.0,census_geocoder,58346,27.103616133518777,3.39
65,Islamic Center of Arizona/Masjid Dunlap,1426 9 Street Northwest Suite 200,Phoenix,AZ,85020,,,,2000,,,42.0,44.0,,,41.0,,83735,12.445395897821623,2.07
66,Islamic Center of North Phoenix,13246 N 23Rd ave,Phoenix,AZ,85020,33.606848863345,-112.107969439586,,2010,,https://www.visualizingimmigrantphoenix.com/patrick-ingham/bosnian-mosque/,39.0,44.0,,,1308.0,census_geocoder,83735,12.445395897821623,2.07
67,Muhammad Mosque #32,4444 S 3rd St,Phoenix,AZ,85040,33.405899075957,-112.070073189972,,2003,,https://www.manta.com/c/mml2xp1/muhammad-mosque-32,47.0,71.0,,,2268.0,census_geocoder,60727,23.22763675049499,2.95
68,Masjid Jauharatul Islam,102 W South Mountain Ave,Phoenix,AZ,85041,33.370566414825,-112.074722594615,,1981,,https://www.masjidjauharatulislam.com/history-of-jauharatul-islam,41.0,50.0,,,1903.0,census_geocoder,75301,15.852165725047081,3.30
69,Arizona Cultural Academy (ACA) Masjid,7810 S 42nd Pl #7300,Phoenix,AZ,85042,33.37486148714,-111.992347581936,,1996,,https://www.azacademy.org/,35.0,34.0,,,2271.0,census_geocoder,88717,15.907138609281734,2.85
70,Islamic Center of Greater Phoenix (Masjid Bilal),8016 S 12th St,Phoenix,AZ,85042,33.373870963098,-112.057427753382,,1982,,https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Phoenix,41.0,23.0,,,2270.0,census_geocoder,88717,15.907138609281734,2.85
71,Islamic Community Center of Phoenix,7516 N Black Canyon Hwy,Phoenix,AZ,85051,33.546078749153,-112.112699488754,,1997,,https://www.archnet.org/sites/10420,40.0,42.0,,,87.0,census_geocoder,69189,13.833004602235372,2.85
72,Islamic Community Center of Phoenix (ICCP),2515 W Orangewood Ave,Phoenix,AZ,85051,33.545799576011,-112.112993446304,,1982,,https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Phoenix,40.0,42.0,,,2264.0,census_geocoder,69189,13.833004602235372,2.85
73,Islamic Community Center of Phoenix Secondary,7362 North Black Canyon Highway,Phoenix,AZ,85051,33.544901307709,-112.112694198541,,2004,,https://www.archnet.org/sites/10420,40.0,42.0,,,754.0,census_geocoder,69189,13.833004602235372,2.85
74,Masjid Bilal Bin Rabah,44370 E Cesar Chavez Ln,Maricopa,AZ,85138,,,,2010,,https://www.pinalcentral.com/maricopa_monitor/religion/religion_news/maricopa-mosque-serves-as-hub-for-area-muslims/article_e5cebfc1-e362-5959-aa4a-38d3eba23ade.html,,60.0,,,1844.0,,95867,7.314128943758573,3.17
75,Masjid Al Noor,55 North Matlock Street,Mesa,AZ,85203,33.416159724533,-111.808192854547,,1998,,https://www.masjidnoormesa.com/,51.0,73.0,,,741.0,census_geocoder,73578,13.69392233061041,2.83
76,Islamic Education Foundation of Arizona (IEFAZ),2434 E Southern Ave,Mesa,AZ,85204,33.393661229115,-111.778876006836,,1980,,https://prayersconnect.com/mosques/84045142-islamic-education-foundation-of-arizona-mesa-arizona-united-states,35.0,20.0,,,2274.0,census_geocoder,72216,14.224317848032776,2.78
77,"Ahmadiyya Muslim Community, Tucson Arizona",250 W Speedway Blvd,Tuscon,AZ,85205,32.235963902204,-110.976029424173,,1982,,https://tucson.com/news/article_f6f301cb-0eb9-5399-91fd-c3b92757baf5.html,56.0,74.0,,,2724.0,census_geocoder,73283,8.884662713950107,2.27
78,Gilbert Mussalla,5635 East Baseline Road,Mesa,AZ,85206,33.379252797393,-111.714262920999,,2013,,https://prayersconnect.com/mosques/84066017-gilbert-musallah-gilbert-arizona-united-states,,26.0,,,757.0,census_geocoder,75607,8.62294443362364,2.17
79,East Mesa Mosque,1017 S 88th St,Mesa,AZ,85208,33.39667806941,-111.64143064256,,-,No Basic Information,,0.0,11.0,,,2718.0,census_geocoder,69390,9.203879298700597,2.42
80,Bait-ul-Aman Mosque,2035 West Elliot Road,Chandler,AZ,85224,33.349478815649,-111.877383456611,,-,Information Without Year,(480) 634-8506,34.0,70.0,,,640.0,census_geocoder,94516,6.740102979657298,2.36
81,es Salaam Mosque,1071 N Alma School rd,Chandler,AZ,85224,33.321398084446,-111.859060327489,,1993,,https://prayersconnect.com/mosques/84024224-masjid-es-salaam-chandler-arizona-united-states,33.0,76.0,,,168.0,census_geocoder,94516,6.740102979657298,2.36
82,Islamic Center of East Valley,425 N Alma School Road,Chandler,AZ,85224,33.309966779605,-111.859018216458,,2008,,https://eventseeker.com/venue/875784-islamic-center-of-the-east-valley-chandler,36.0,61.0,,,50.0,census_geocoder,94516,6.740102979657298,2.36
83,Islamic Center of the East Valley (ICEV),425 N Alma School Rd,Chandler,AZ,85224,33.309966779605,-111.859018216458,,2010,,https://www.eastvalleytribune.com/news/after-12-years-chandler-mosque-prepares-to-open/article_6ed031a4-ce5e-5634-be45-cb51bbbb77bc.html,36.0,61.0,,,2266.0,census_geocoder,94516,6.740102979657298,2.36
84,Masjid Al Mustafa,24038 South Val Vista Drive,Chandler,AZ,85249,33.229366881189,-111.75567655671,,2014,,"https://www.causeiq.com/organizations/al-mustafa-foundation,453664496/",,3.0,,,738.0,census_geocoder,153633,4.5833419086624545,2.85
85,Islamic Center of North East Valley (ICNEV),12125 E Via Linda,Scottsdale,AZ,85259,33.589630848398,-111.829084424899,,1998,,https://islamcenter.com/about,0.0,10.0,,,1306.0,census_geocoder,137895,6.26762190894384,2.26
86,Al-Mahdi Center,1016 S River Dr.,Tempe,AZ,85281,33.418243647114,-111.896257318812,,1998,,https://www.almahdi.net/about-us,53.0,67.0,,,900.0,census_geocoder,64538,24.63071326901787,2.16
87,Tempe Mosque (Islamic Community Center),131 E 6th St,Tempe,AZ,85281,33.424308583406,-111.937320319285,,1984,,https://emuseum.tempe.gov/objects/65023/tempe-islamic-center--mosque,69.0,91.0,,,2263.0,census_geocoder,64538,24.63071326901787,2.16
88,Omar Ibn Al-Khattab Mosque,6225 S McClintock Dr,Tempe,AZ,85283,33.36532140513,-111.911173811329,,2001,,https://prayersconnect.com/mosques/84017189-masjid-omar-ibn-al-khattab-tempe-arizona-united-states,34.0,71.0,,,2275.0,census_geocoder,84568,12.709654163397724,2.41
89,Masjid Rahman,6040 N 43rd Ave,Glendale,AZ,85301,33.52458620254,-112.151695129194,,-,No Basic Information,,37.0,75.0,,,2726.0,census_geocoder,53827,25.510745555850356,2.98
90,United Islamic Center of Arizona,19250 N 35 AV Glendale,Phoenix,AZ,85308,33.660657500918,-112.134625406797,,2014,,https://uislamicca.com/home/sample-page-2/,42.0,46.0,,,601.0,census_geocoder,95247,9.627126035761012,2.46
91,United Islamic Center of Arizona UICA ,19250 N 35th Ave,Glendale,AZ,85308,33.660657500918,-112.134625406797,,2014,,"https://www.causeiq.com/organizations/united-islamic-center-of-arizona,471172036/",42.0,46.0,,,2267.0,census_geocoder,95247,9.627126035761012,2.46
92,WVIC,10510 W Van Buren St,Avondale,AZ,85323,33.4500893,-112.2858638,,-,No Basic Information,,,23.0,,,2720.0,nominatim,83120,12.867970712644667,3.27
93,Islamic Center of Laveen (Laveen Mosque),5099 W Dobbins Rd #1,Laveen Village,AZ,85339,33.362874603848,-112.169003868253,,2008,,"https://www.causeiq.com/organizations/islamic-center-of-laveen,262407029/",28.0,32.0,,,2269.0,census_geocoder,110602,8.77868191481563,3.47
94,Islamic Center of Yuma,200 W  24th St,Yuma,AZ,85364,32.684013107147,-114.618972556911,,1999,,https://www.mapquest.com/us/arizona/islamic-center-of-yuma-23769214,24.0,80.0,,,1383.0,census_geocoder,57874,19.397881744641815,2.52
95,Albanian-American Islamic Center of Arizona,6724 E Greenway rd,Peoria,AZ,85381,33.625141161424,-112.203642692401,,2003,,https://greenwaymasjidaz.com,35.0,81.0,,,924.0,census_geocoder,96746,6.64438404466319,2.57
96,Islamic Center of Peoria (ICP),23915 N Lake Pleasant Pkwy,Peoria,AZ,85383,33.699653549749,-112.273351161431,,2019,,https://www.icpaz.org/about/,,18.0,,,2719.0,census_geocoder,145546,4.896170442286947,2.93
97,Muslim Community Center of Tucson,5100 N Kevy Pl,Tucson,AZ,85704,32.299456095909,-110.998152578475,,2014,,https://tucson.com/lifestyles/faith-and-values/article_b274bf11-78f8-570b-a760-dcf8da920a7a.html,,52.0,,,710.0,census_geocoder,81696,6.438865643886564,2.05
98,Imam Abu Hanifa Islamic Center IAHIC,4727 East 5th Street,Tucson,AZ,85711,32.2288964454,-110.891837425847,,2021,,https://iahiccenter.org/?page_id=2056,37.0,72.0,,,2722.0,census_geocoder,56121,19.701994598948218,2.28
99,Husainiya Center of Tucson,639 N Swan Rd,Tucson,AZ,85712,32.229861147974,-110.892541357183,,2019,,https://www.husainiyatucson.org/,38.0,69.0,,,727.0,census_geocoder,50625,17.29673916663891,1.77
100,ICS Tucson,5010 E Bellevue St,Tucson,AZ,85712,32.237955698472,-110.885927733429,,1980,,https://www.zippia.com/interfaith-community-services-careers-673065/history/,41.0,82.0,,,2721.0,census_geocoder,50625,17.29673916663891,1.77
101,Islamic Center of Tucson,901 E 1 st,Tucson,AZ,85719,32.234362293791,-110.957897550977,,1991,,https://en.wikipedia.org/wiki/Tucson_Mosque,59.0,81.0,,,80.0,census_geocoder,42241,33.552742616033754,2.00
102,Flagstaff Community Masjid,30-269 S Family Housing,Flagstaff,AZ,86001,,,,1990,,https://www.icflagstaff.org/about-us,65.0,96.0,,,1102.0,,64626,22.803895231699126,2.14
103,Islamic Center Of Flagstaff,1829 N East St,Flagstaff,AZ,86004,35.205553288036,-111.618990840866,,1990,,https://www.icflagstaff.org/about-us,43.0,55.0,,,2273.0,census_geocoder,81172,11.788280818131565,2.43
104,Prescott Islamic Center,2200 E Hillsdale Rd,Prescott,AZ,86301,34.592330584451,-112.425695530187,,-,No Basic Information,,,19.0,,,2723.0,census_geocoder,72652,12.408529388622236,2.03
105,Masjid Ibrahim,2075 Airway Avenue,Kingman,AZ,86401,35.22490005735,-114.029410233788,,1990,,https://www.archnet.org/sites/10393,,50.0,,,172.0,census_geocoder,66129,13.727770177838577,2.24
106,Masjid Ismail,1715 Wolf Ct.,Bullhead City,AZ,86442,35.041434701889,-114.590763562387,,1998,,https://projects.propublica.org/nonprofits/organizations/860853536,,18.0,,,1897.0,census_geocoder,48081,20.95964723970874,2.04
107,Masjid At-Thohir,1200 South Kenmore Avenue,Los Angeles,CA,90006,34.049016968133,-118.296764512799,,,,,68.0,93.0,,,4166.0,census_geocoder,51998,23.59396182171253,2.74
108,Masjid Umar Ibn Khattab,1025 Exposition Blvd,Los Angeles,CA,90007,34.018414849028,-118.293003170664,,1994,,https://www.archnet.org/sites/10386,70.0,74.0,,,1989.0,census_geocoder,35378,39.631859024688126,2.68
109,Masjid Bilal,4016 S Central Ave,Los Angeles,CA,90011,34.010652050749,-118.256431194053,,1999,,https://masjidbilalonline.com/about-masjid-bilal-islamic-center.html,57.0,79.0,,,401.0,census_geocoder,59017,24.585833123266955,4.13
110,Minaret,1109-1101 East Martin Luther King Junior Boulevard,Los Angeles,CA,90011,34.011206823913,-118.256437398375,,,,,57.0,80.0,,,4167.0,census_geocoder,59017,24.585833123266955,4.13
111,Akber Masjid- Islamic Center Downtown Los Angeles,1013 San Julian St A,Los Angeles,CA,90015,34.036783317551,-118.252426104189,,-,No Basic Information,https://prayersconnect.com/mosques/84082263-akber-mosque-los-angeles-california-united-states,97.0,87.0,,,2284.0,census_geocoder,69268,26.925268642136114,1.82
112,Masjid Abu Bakr Al-Siddiq,3611 Crenshaw Blvd,Los Angeles,CA,90016,34.023564053769,-118.335166430484,,-,Information Without Year,https://www.muslimguide.com/show/Masjid_Abu_Bakr_As_Siddiq_178,59.0,85.0,,,131.0,census_geocoder,73516,18.473947550034506,2.55
