Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score,NND,NRI,Reference_ID,geocode_method
1,Islamic Center of Alaska,4141 Ingra No. 202,Anchorage,AK,99503,61.183398443276,-149.86616610748,,2016,,https://www.alaskamasjid.org,,57,,,1195.0,census_geocoder
2,"Muslim Community of Alaska, Inc (Masjid Ash-Shura of Alaska)",927 W Fireweed Ln Unit A,Anchorage,AK,99503,61.198824914531,-149.899817691989,,2010,,"https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Anchorage_Alaska#:~:text=The%20Islamic%20Community%20Center%20of,northernmost%20mosque%20in%20North%20America.",43,90,,,2262.0,census_geocoder
3,Islamic Community Center of Anchorage,8005 Spring Street,Anchorage,AK,99518,61.148284558697,-149.861926179423,,2010,,https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Anchorage_Alaska,36,61,,,736.0,census_geocoder
4,Islamic Community Center of Anchorage (Alaska Mosque),8005 Spring St,Anchorage,AK,99518,61.148284558697,-149.861926179423,,2014,,https://kids.kiddle.co/Islamic_Community_Center_of_Anchorage_Alaska,36,61,,,2261.0,census_geocoder
5,Masjid Alaska,501 E International rd Suite 26,Anchorage,AK,99518,61.173676651315,-149.875454153447,,2014,,https://theworld.org/stories/2014/08/26/alaskas-first-mosque-opens-its-doors,53,84,,,1775.0,census_geocoder
6,Dar-e-Zahra,1907 AL-150,Bessemer,AL,35022,33.367346996322,-86.890122930332,,2020,,https://www.darezahra.com/about-1,,6,,,2713.0,census_geocoder
7,BIS Fairfield Islamic Center,740 Donald Pkwy,Fairfield,AL,35064,33.4958267,-86.9080237,,1990,,https://www.bisweb.org/history/,,47,,,2257.0,nominatim
8,Bis West Side Masjid,4506 Gary ave,Fairfield,AL,35064,33.492035028434,-86.914698645115,,2010,,https://magiccityreligion.org/2021/11/29/west-side-masjid/,,46,,,994.0,census_geocoder
9,Masjid Al-Qubbatu Al-Khadra,1009 Cr 332,Pelham,AL,35124,33.280190583242,-86.763769388323,,2002,,https://www.bizjournals.com/birmingham/news/2025/07/14/islamic-org-buys-vacant-church-property.html,,42,,,1738.0,census_geocoder
10,Masjid Al Quran,3424 26th st N,Birmingham,AL,35207,33.555844509679,-86.819779673187,,-,No Basic Information,,24,47,,,1620.0,census_geocoder
11,BIS Homewood Masjid,1810 25th Ct S,Homewood,AL,35209,33.486027007906,-86.791271322473,,1995,,https://magiccityreligion.org/2019/12/17/homewood-masjid/,28,58,,,2254.0,census_geocoder
12,Ismaili Community Center And Jamatkhana - Birmingham,131 Oxmoor Ct,Birmingham,AL,35209,33.441018070613,-86.842871144859,,2007,,https://www.al.com/news/birmingham/2025/12/hoovers-rejection-of-islamic-school-opens-old-religious-freedom-debates.html,20,25,,,2716.0,census_geocoder
13,Muhammad Mosque #69,521 Tuscaloosa Ave,Birmingham,AL,35211,33.500477491332,-86.841933892223,,1934,,https://www.muibirmingham.org/,30,52,,,2259.0,census_geocoder
14,BIS Hoover Crescent Islamic Center,2524 Hackberry Ln,Hoover,AL,35226,33.420332916349,-86.814856253372,,1990,,https://thigmos.com/bis-hoover-crescent-islamic-center/about,,11,,,2251.0,census_geocoder
15,Islamic Society of Tuscaloosa/Masjid Omar Ibn Al-Khatab,1416 Paul West Bryant Drive,Tuscaloosa,AL,35401,,,,1999,,"https://thecrimsonwhite.com/13405/news/ua-muslim-community-thrives-despite-small-size/#:~:text=%E2%80%9C%5BThe%20Islamic%20Center%5D%20mostly,identity%20as%20someone%20from%20Alabama.%E2%80%9D",,81,,,420.0,
16,Masjid Al-Islam,903 Columbus rd,Aliceville,AL,35442,33.1628043,-88.1874635,,-,Information Without Year,https://prayersconnect.com/mosques/84056833-masjid-al-islam-aliceville-alabama-united-states,,25,,,1701.0,nominatim
17,Jasper Mosque,218 30th Street W,Jasper,AL,35501,33.821186956788,-87.280949102889,,-,Information Without Year,https://www.bisweb.org/history/,,17,,,2714.0,census_geocoder
18,Al-Noor Mosque,1209 Danville Rd SW,Decatur,AL,35601,34.586850413515,-87.000233795348,,-,No Basic Information,,,34,,,2715.0,census_geocoder
19,ICD Islamic Center Decatur,2916 Sandlin Rd SW,Decatur,AL,35603,34.554246551825,-86.990449881664,,2019,,"https://www.causeiq.com/organizations/icd,823495721/",,36,,,2255.0,census_geocoder
20,Florence Islamic Center ,401 Veterans Dr,Florence,AL,35630,34.797481874813,-87.669096098007,,2012,,https://ficalabama.org/#about,,57,,,2712.0,census_geocoder
21,Madison Masjid - North Alabama Islamic Society,105 W Dublin Dr,Madison,AL,35758,34.680488715351,-86.753621221629,,-,Information Without Year,https://madisonmasjid.com/madison/index.php/about-us,,54,,,2252.0,census_geocoder
22,Alabama Islamic Educational Center of Fatemeh Al-Z,8200 Memorial Pkwy Sw,Huntsville,AL,35802,34.658265934013,-86.569869123931,,1990,,https://huntsvilleislamiccenter.org/about-us,15,61,,,918.0,census_geocoder
23,Huntsville Islamic Center,1645 Sparkman Dr.,Huntsville,AL,35816,34.74233594296,-86.646513991109,,1990,,https://huntsvilleislamiccenter.org/about-us,21,21,,,1133.0,census_geocoder
